,source,target,TS label,TS chiral?,
259,0000101203,0103000210,0101200003,yes,,,,,,,
260,0000101203,0000213010,0000213010,yes,,,,,,,
261,0023000101,0032001010,0023000101,yes,,,,,,,
262,0023000101,0031200100,0100031200,yes,,,,,,,
263,0023000101,0101002003,0100023001,yes,,,,,,,
264,0000310201,0001021300,0000310201,yes,,,,,,,
265,0000310201,0201301000,0201301000,yes,,,,,,,
266,0000310201,0000201130,0000201130,yes,,,,,,,
267,0103000201,0030101020,0030101020,yes,,,,,,,
268,0103000201,0031010200,0200031010,yes,,,,,,,
269,0103000201,0100201003,0100201003,yes,,,,,,,
270,0000030112,0002113000,0000030112,yes,,,,,,,
271,0000030112,1103002000,0030110002,yes,,,,,,,
272,0000030112,0001102300,0001102300,yes,,,,,,,
273,0101030200,0023010100,0101030200,yes,,,,,,,
274,0101030200,0010203010,0203010010,yes,,,,,,,
275,0101030200,0100200301,0100200301,yes,,,,,,,
276,0012100030,0121000300,0012100030,yes,,,,,,,
277,0012100030,0103000120,2100030010,yes,,,,,,,
278,0012100030,0011003002,0030012100,yes,,,,,,,
279,0002013100,0000011023,0002013100,yes,,,,,,,
280,0002013100,0000131020,0131020000,yes,,,,,,,
281,0002013100,0000130102,0000130102,yes,,,,,,,
282,0000100231,0001320100,0000100231,yes,,,,,,,
283,0000100231,0101003200,0100230001,yes,,,,,,,
284,0000100231,0003201010,0003201010,yes,,,,,,,
285,0211003000,0000011203,0011200003,yes,,,,,,,
286,0211003000,0010120030,0030010120,yes,,,,,,,
287,0211003000,0001200031,1200030001,yes,,,,,,,
288,0002013001,0001001023,0002013001,yes,,,,,,,
289,0002013001,0031021000,0031021000,yes,,,,,,,
290,0002013001,0000031102,0000031102,yes,,,,,,,
291,0102031000,0003020101,0102031000,yes,,,,,,,
292,0102031000,0010013020,0013020010,yes,,,,,,,
293,0102031000,0010300102,0100010302,yes,,,,,,,
294,1001023000,0002010013,1001023000,yes,,,,,,,
295,1001023000,0000032011,0032010001,yes,,,,,,,
296,1001023000,0010030201,0010030201,yes,,,,,,,
297,0000320101,0001012300,0000320101,yes,,,,,,,
298,0000320101,0102301000,0102301000,yes,,,,,,,
299,0000320101,0000101230,0000101230,yes,,,,,,,
300,0101020300,0032010100,0101020300,yes,,,,,,,
301,0101020300,0010302010,0302010010,yes,,,,,,,
302,0101020300,0100300201,0100300201,yes,,,,,,,
303,0010130200,0023101000,0010130200,yes,,,,,,,
304,0010130200,0100203100,0130200010,yes,,,,,,,
305,0010130200,0200311000,0200010130,yes,,,,,,,
306,0000131020,0000203101,0000131020,yes,,,,,,,
307,0000131020,0002013100,0131020000,yes,,,,,,,
308,0000131020,0002010310,0002010310,yes,,,,,,,
309,0001201300,0000030211,0001201300,yes,,,,,,,
310,0001201300,0000310210,0310210000,yes,,,,,,,
311,0001201300,0000310021,0000310021,yes,,,,,,,
312,0000301021,0001200301,0000301021,yes,,,,,,,
313,0000301021,0301002010,0301020001,yes,,,,,,,
314,0000301021,0002011030,0002011030,yes,,,,,,,
315,0001002103,0003010012,0001002103,yes,,,,,,,
316,0001002103,0013000120,0120013000,yes,,,,,,,
317,0001002103,0000123001,0000123001,yes,,,,,,,
318,0100103020,0100100203,0100100203,no,,,,,,,
319,0100103020,0012030100,0103020100,yes,,,,,,,
320,0100103020,0010102030,0102030010,yes,,,,,,,
321,0002010031,0001301020,0002010031,yes,,,,,,,
322,0002010031,1003001020,2010030001,yes,,,,,,,
323,0002010031,0003001102,0003001102,yes,,,,,,,
324,0000130012,0002103100,0000130012,yes,,,,,,,
325,0000130012,1003102000,0130010002,yes,,,,,,,
326,0000130012,0001002310,0001002310,yes,,,,,,,
327,0100103200,0020100103,0100100023,no,,,,,,,
328,0100103200,0010230100,0103200100,yes,,,,,,,
329,0100103200,0010100230,0100230010,yes,,,,,,,
330,0000113002,0002001103,0000113002,yes,,,,,,,
331,0000113002,0031102000,0031102000,yes,,,,,,,
332,0000113002,0000032110,0000032110,yes,,,,,,,
333,0002101300,0000030121,0002101300,yes,,,,,,,
334,0002101300,0000310120,0310120000,yes,,,,,,,
335,0002101300,0000310012,0000310012,yes,,,,,,,
336,0012001030,0021000301,0012001030,yes,,,,,,,
337,0012001030,0020103010,2001030010,yes,,,,,,,
338,0012001030,0001003012,1003010002,yes,,,,,,,
339,0000001123,0000003211,0000001123,no,,,,,,,
340,0000001123,0003002110,0001120003,yes,,,,,,,
341,0000001123,0002113000,0002113000,yes,,,,,,,
342,0113002000,0000031102,0031100002,yes,,,,,,,
343,0113002000,0020030110,0020030110,yes,,,,,,,
344,0113002000,0001100023,1100020003,yes,,,,,,,
345,0000120130,0000312100,0000120130,yes,,,,,,,
346,0000120130,0003102100,0120130000,yes,,,,,,,
347,0000120130,0003100210,0003100210,yes,,,,,,,
348,0000210301,0001031200,0000210301,yes,,,,,,,
349,0000210301,0301201000,0210300001,yes,,,,,,,
350,0000210301,0000301120,0000301120,yes,,,,,,,
351,0201100300,0030110200,0110200030,yes,,,,,,,
352,0201100300,0020300110,0300110020,yes,,,,,,,
