,id,chiral?,enantiomer,
327,0020101300,yes,0021300100,,,,,
328,0030201100,yes,0031100200,,,,,
329,0010030201,yes,0010200031,,,,,
330,0003021100,yes,0001103020,,,,,
331,0001003102,yes,0003101002,,,,,
332,0100231000,yes,0101000230,,,,,
333,0000023011,yes,0003010021,,,,,
334,0001100032,yes,0000031102,,,,,
335,0000321100,yes,0001100320,,,,,
336,0011300020,yes,0010021300,,,,,
337,0100200310,yes,0100310200,,,,,
338,0102003100,yes,0103102000,,,,,
339,0003101200,yes,0001203100,,,,,
340,0032010100,yes,0030102010,,,,,
341,0010203001,yes,0013000201,,,,,
342,0000101302,yes,0001300102,,,,,
343,0001230010,yes,0000011230,,,,,
344,0110300200,yes,0110200300,,,,,
345,0000200113,yes,0000110203,,,,,
346,0031100200,yes,0030201100,,,,,
347,0001200130,yes,0000131200,,,,,
348,0000312001,yes,0002000311,,,,,
349,0001120300,yes,0000301120,,,,,
350,0031020100,yes,0030101020,,,,,
351,0020103100,yes,0023100100,,,,,
352,0000310120,yes,0000120310,,,,,
353,0001100203,yes,0000201103,,,,,
354,0000123100,yes,0003100120,,,,,
355,0003001120,yes,0001123000,,,,,
356,1003002100,yes,1002103000,,,,,
357,0003201100,yes,0001103200,,,,,
358,0010230100,yes,0010100230,,,,,
359,0132001000,yes,0131002000,,,,,
360,0201103000,yes,0203001100,,,,,
361,0000032011,yes,0002010031,,,,,
362,0002300011,yes,0000012301,,,,,
363,0000131200,yes,0001200130,,,,,
364,0020100310,yes,0020310100,,,,,
365,0102100300,yes,0100302100,,,,,
366,0003101020,yes,0001023100,,,,,
367,0103001020,yes,0101023000,,,,,
368,1013002000,yes,1012003000,,,,,
369,0101023000,yes,0103001020,,,,,
370,0201001030,yes,0201031000,,,,,
371,0011020300,yes,0010301020,,,,,
372,0201001300,yes,0201301000,,,,,
373,0000013120,yes,0003120010,,,,,
374,1003002001,yes,1002003001,,,,,
375,0110200300,yes,0110300200,,,,,
376,0001300021,yes,0000021301,,,,,
377,0021103000,yes,0023001100,,,,,
378,0031012000,yes,0032001010,,,,,
379,1102003000,yes,1103002000,,,,,
380,0002310010,yes,0000012310,,,,,
381,0030210100,yes,0030100210,,,,,
382,0032000101,yes,0030102001,,,,,
383,0010103200,yes,0013200100,,,,,
384,0010012003,no,,,,,,
385,0101002003,yes,0102001003,,,,,
386,0030102001,yes,0032000101,,,,,
387,0002301010,yes,0001012300,,,,,
388,0031000201,yes,0030201001,,,,,
389,0023000110,yes,0020113000,,,,,
390,0100301200,yes,0101200300,,,,,
391,0020311000,yes,0021000310,,,,,
392,0000213010,yes,0003010210,,,,,
393,0012301000,yes,0011002300,,,,,
394,0000120031,yes,0000030121,,,,,
395,0002103010,yes,0003012100,,,,,
396,0003200110,yes,0000113200,,,,,
